Time,Time,Miles,Cost,Date,,Total,Beginning Route,End Route
1007,10:07 AM,3.57 mi,$3.88 ,Fri Jun 1,,,,
1109,11:09 AM,9.33 mi,$8.90 ,Fri Jun 1,,,,
1156,11:56 AM,8.62 mi,$8.46 ,Fri Jun 1,,,,
1221,12:21 PM,0.62 mi,$2.85 ,Fri Jun 1,,,,
1230,12:30 PM,4.02 mi,$4.65 ,Fri Jun 1,,,,
1249,12:49 PM,0.95 mi,$2.85 ,Fri Jun 1,,,,
1257,12:57 PM,5.68 mi,$5.65 ,Fri Jun 1,,,,
1324,1:24 PM,2.65 mi,$3.25 ,Fri Jun 1,,,,
1431,2:31 PM,10.04 mi,$11.05 ,Fri Jun 1,,,,
1524,3:24 PM,7.24 mi,$7.94 ,Fri Jun 1,,,,
1615,4:15 PM,1.77 mi,$2.85 ,Fri Jun 1,,,,
1649,4:49 PM,9.84 mi,$9.23 ,Fri Jun 1,,,,
0723,7:23 AM,15.97 mi,$21.65 ,Mon June 4,,,,
1137,11:37 AM,26.05 mi,$28.51 ,Mon June 4,,,,
1217,12:17 PM,0.83 mi,$2.85 ,Mon June 4,,,,
1223,12:23 PM,4.11 mi,$4.07 ,Mon June 4,,,,
1235,12:35 PM,6.28 mi,$6.02 ,Mon June 4,,,,
1251,12:51 PM,3.59 mi,$5.88 ,Mon June 4,,,,
1340,1:40 PM,2.49 mi,$3.83 ,Mon June 4,,,,
1446,2:46 PM,10.31 mi,$10.89 ,Mon June 4,,,,
1522,3:22 PM,12.39 mi,$10.39 ,Mon June 4,,,,
1603,4:03 PM,4.64 mi,$4.94 ,Mon June 4,,,,
0645,6:45 AM,3.67 mi,$4.33 ,Tue Jun 5,,,,
0706,7:06 AM,2.04 mi,$7.85 ,Tue Jun 5,,,,
0718,7:18 AM,6.05 mi,$5.83 ,Tue Jun 5,,,,
0813,8:13 AM,5.61 mi,$5.83 ,Tue Jun 5,,,,
0848,8:48 AM,1.62 mi,$2.92 ,Tue Jun 5,,,,
0916,9:16 AM,5.19 mi,$13.50 ,Tue Jun 5,,,,
0948,9:48 AM,1.97 mi,$2.85 ,Tue Jun 5,,,,
1012,10:12 AM,11.08 mi,$14.41 ,Tue Jun 5,,,,
1032,10:32 AM,24.74 mi,$24.55 ,Tue Jun 5,,,,
0730,7:30 AM,5.01 mi,$5.07 ,Wed Jun 6,,,,
0833,8:33 AM,0.98 mi,$2.85 ,Wed Jun 6,,,,
0840,8:40 AM,12.01 mi,$15.54 ,Wed Jun 6,,,,
0926,9:26 AM,4.41 mi,$4.25 ,Wed Jun 6,,,,
0946,9:46 AM,2.62 mi,$3.28 ,Wed Jun 6,,,,
1005,10:05 AM,25.15 mi,$19.96 ,Wed Jun 6,,,,
1043,10:43 AM,7.31 mi,$6.64 ,Wed Jun 6,,,,
1058,10:58 AM,10.23 mi,$9.64 ,Wed Jun 6,,,,
1257,12:57 PM,3.04 mi,$3.75 ,Wed Jun 6,,,,
1318,1:18 PM,2.97 mi,$3.46 ,Wed Jun 6,,,,
1429,2:29 PM,15.84 mi,$19.20 ,Wed Jun 6,,,,
1517,3:17 PM,6.92 mi,$8.37 ,Wed Jun 6,,,,
1553,3:53 PM,8.43 mi,$7.81 ,Wed Jun 6,,,,
1620,4:20 PM,12.30 mi,$12.40 ,Wed Jun 6,,,,
1713,5:13 PM,2.47 mi,$6.85 ,Wed Jun 6,,,,
1735,5:35 PM,2.05 mi,$3.30 ,Wed Jun 6,,,,
1754,5:54 PM,3.12 mi,$11.17 ,Wed Jun 6,,,,
0651,6:51 AM,3.58 mi,$3.73 ,Thu Jun 7,,,,
0729,7:29 AM,6.20 mi,$12.98 ,Thu Jun 7,,,,
0756,7:56 AM,1.56 mi,$2.85 ,Thu Jun 7,,,,
0811,8:11 AM,12.71 mi,$12.28 ,Thu Jun 7,,,,
0836,8:36 AM,10.19 mi,$11.69 ,Thu Jun 7,,,,
0931,9:31 AM,6.06 mi,$5.65 ,Thu Jun 7,,,,
1001,10:01 AM,1.48 mi,$3.31 ,Thu Jun 7,,,,
1019,10:19 AM,5.22 mi,$5.73 ,Thu Jun 7,,,,
1042,10:42 AM,1.62 mi,$4.66 ,Thu Jun 7,,,,
1105,11:05 AM,1.07 mi,$2.85 ,Thu Jun 7,,,,
1114,11:14 AM,2.13 mi,$5.85 ,Thu Jun 7,,,,
1131,11:31 AM,9.36 mi,$12.07 ,Thu Jun 7,,,,
1206,12:06 PM,2.90 mi,$3.31 ,Thu Jun 7,,,,
1234,12:34 PM,15.22 mi,$15.62 ,Thu Jun 7,,,,
0922,9:22 AM,1.02 mi,$2.85 ,Fri Jun 8,,,,
0945,9:45 AM,40.90 mi,$43.01 ,Fri Jun 8,,,,
0707,7:07 AM,2.33 mi,$2.85 ,Tue June 19,,,,
0718,7:18 AM,5.70 mi,$5.30 ,Tue June 19,,,,
0731,7:31 AM,4.44 mi,$4.61 ,Tue June 19,,,,
0759,7:59 AM,13.29 mi,$16.61 ,Tue June 19,,,,
0827,8:27 AM,4.63 mi,$13.86 ,Tue June 19,,,,
0908,9:08 AM,7.74 mi,$7.17 ,Tue June 19,,,,
